"Metrics","Variables","Interaction","Intercept_grouping","Wifull","CWI_Global","Model_Approved","Floor_Sig","Wi_Floor","CWI_Floor","Median_Sig","Wi_Median","CWI_Median","Ceiling_Sig","Wi_Ceiling","CWI_Ceiling","CV_Uncertainty","Formula"
"Simuliidae","exp(VEL) exp(DEPTH)","","full",0.598453442555389,0.576091647507779,"NO","NO",0.043688501697295,0.0420560383318569,"NO",0.99999999996645,0.962634027182712,"NO",1,0.962634027215008,0.0373659727849916,"VAR ~ 1 + exp(VEL) + exp(DEPTH) + GROUP + SUB"
"Siphlonuridae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sphaeriidae","","","no",0.5,0.485468354517796,"NO","NO",0.5,0.485468354517796,"NO",0.5,0.485468354517796,"NO",0.5,0.485468354517796,0.0290632909644079,"VAR ~ 1"
"Stratiomyidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tabanidae","","","no",0.5,0.496223256535608,"NO","NO",0.5,0.496223256535608,"NO",0.5,0.496223256535608,"NO",0.5,0.496223256535608,0.00755348692878476,"VAR ~ 1"
"Taeniopterygidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thaumaleidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tipulidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tubificidae","","","no_group",0.5,0.496103662253775,"NO","NO",0.5,0.496103662253775,"NO",0.5,0.496103662253775,"NO",0.5,0.496103662253775,0.00779267549245001,"VAR ~ 1 + SUB"
"Valvatidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Veliidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Viviparidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RICHNESS","exp(VEL) DEPTH","","no_sub",0.990537112953595,0.975955754227138,"YES","YES",0.9983193137635,0.983623395915324,"YES",0.999999999472508,0.985279340823701,"YES",1,0.985279341343428,0.0147206586565724,"VAR ~ 1 + exp(VEL) + DEPTH + GROUP"
"EPT","log10(VEL) exp(DEPTH)","","no_sub",0.998408775288075,0.88182358727587,"YES","YES",0.989094052063095,0.873596553567794,"YES",0.999999999598633,0.88322900273738,"YES",1,0.883229003091879,0.116770996908121,"VAR ~ 1 + log10(VEL) + exp(DEPTH) + GROUP"
"EPT_prop","poly(VEL,2) log10(DEPTH)","","full",0.964409832804146,0.941868458400245,"YES","YES",0.905612030296459,0.884444950549633,"YES",1,0.976626768374645,"YES",0.999997800957033,0.97662462073042,0.0233732316253544,"VAR ~ 1 + poly(VEL, 2) + log10(DEPTH) + GROUP + SUB"
"EPT_abu","poly(VEL,2) DEPTH","","full",0.999999999996712,0.935133058175126,"YES","YES",1,0.935133058178201,"YES",1,0.935133058178201,"YES",0.999999999995855,0.935133058174325,0.0648669418217989,"VAR ~ 1 + poly(VEL, 2) + DEPTH + GROUP + SUB"
